"=""0050""",元大台灣卓越50證券投資信託基金,,092/06/25
"=""00905""",富蘭克林華美臺灣Smart ETF證券投資信託基金,無,111/04/13
"=""00906""",大華銀元宇宙科技與服務ETF證券投資信託基金,無,111/05/06
"=""00907""",永豐台灣優選入息存股ETF證券投資信託基金,,111/05/17
"=""00908""",富邦全球入息不動產與基礎建設ETF證券投資信託基金,富邦證券投資信託股份有限公司,111/05/10
"=""00909""",國泰全球數位支付服務ETF證券投資信託基金,國泰證券投資信託股份有限公司,111/07/01
"=""00910""",第一金太空衛星ETF證券投資信託基金,無,111/07/12
"=""00911""",兆豐洲際半導體ETF證券投資信託基金,無,111/06/17
"=""00912""",中國信託臺灣智慧50ETF證券投資信託基金,,111/06/22
"=""00913""",兆豐特選台灣晶圓製造 ETF證券投資信託基金,無,111/08/01
"=""00915""",凱基台灣優選高股息30ETF證券投資信託基金,,111/08/01
"=""00916""",國泰全球品牌50ETF證券投資信託基金,國泰證券投資信託股份有限公司,111/09/16
"=""00917""",中國信託特選金融及數據ETF證券投資信託基金,,111/08/18
"=""00918""",大華銀台灣優選股利高填息30ETF證券投資信託基金,無,111/11/15
"=""00919""",群益台灣精選高息ETF證券投資信託基金,無,111/10/13
"=""00920""",富邦全球ESG綠色電力ETF證券投資信託基金,富邦證券投資信託股份有限公司,111/10/12
"=""00921""",兆豐台灣產業龍頭存股等權重ETF證券投資信託基金,無,112/01/04
"=""00922""",國泰台灣領袖 50 ETF 證券投資信託基金,國泰證券投資信託股份有限公司,112/03/16
"=""00923""",群益台灣ESG低碳50ETF證券投資信託基金,無,112/02/24
"=""00924""",復華美國標普500成長ETF證券投資信託基金,,112/04/12
"=""00925""",新光標普電動車ETF證券投資信託基金,,112/03/31
"=""00926""",凱基全球菁英55 ETF證券投資信託基金,,112/05/26
"=""00927""",群益台灣半導體收益ETF證券投資信託基金,無,112/05/29
"=""00929""",復華台灣科技優息ETF證券投資信託基金,,112/06/01
"=""00930""",永豐台灣ESG低碳高息40ETF證券投資信託基金,,112/07/07
"=""00932""",兆豐台灣ESG永續高股息等權重ETF證券投資信託基金,無,112/08/22
